MIN_DEPTH   MAX_DEPTH   VELOCITY    MAX_DEPTH_CHANGE_MIN    MAX_DEPTH_CHANGE_MAX    VELOCITY_CHANGE
0.0         15.0        3.0         -5                      5                       0.6
15.0        40.0        3.0         -5                      5                       0.6
40.0        120.0       4.1          0                      0                       0.4
